co2_limit_vs_baseline,dispatchable_load_share,AverageCost,CO2_total_tons
1.0,0.0,8.970845120381847,6771.359489411945
1.0,0.0,8.970845120381844,6771.359489411945
1.0,0.0,8.970845120381846,6771.359489411945
1.0,0.0,8.970845120381846,6771.359489411947
1.0,0.0,8.970845120381846,6771.359489411945
1.0,0.0,8.970845120381846,6771.359489411945
1.0,0.0,8.970845120381846,6771.359489411945
1.0,0.0,8.970845120381846,6771.359489411945
1.0,0.0,8.970845120381846,6771.359489411945
1.0,0.0,8.970845120381846,6771.359489411945
1.0,0.0,8.970845120381846,6771.359489411945
1.0,0.0,8.970845120381846,6771.359489411945
1.0,0.0,8.970845120381846,6771.359489411945
1.0,0.0,8.970845120381846,6771.359489411945
1.0,0.0,8.970845120381846,6771.359489411947
1.0,0.0,8.970845120381846,6771.359489411947
1.0,0.0,8.970845120381853,6771.359489411958
1.0,0.0,8.970845120381854,6771.359489411948
1.0,0.0,8.970845120381846,6771.359489411945
1.0,0.0,8.97084512038185,6771.359489411939
1.0,0.3,3.7144613609609936,2153.8785009564754
1.0,0.3,3.714461360960993,2153.8785009564735
1.0,0.3,3.714461360960993,2153.878500956475
1.0,0.3,3.7144613609609913,2153.8785009564754
1.0,0.3,3.714461360960993,2153.878500956475
1.0,0.3,3.714461360960992,2153.878500956474
1.0,0.3,3.7144613609609918,2153.878500956476
1.0,0.3,3.714461360960992,2153.878500956475
1.0,0.3,3.714461360960992,2153.878500956473
1.0,0.3,3.714461360960963,2153.878500956477
1.0,0.3,3.714461360960993,2153.878500956475
1.0,0.3,3.7144613609609958,2153.8785009564735
1.0,0.3,3.7144613609609625,2153.878500956478
1.0,0.3,3.7144613609609918,2153.8785009564754
1.0,0.3,3.7144613609609918,2153.878500956475
1.0,0.3,3.7144613609609927,2153.8785009564754
1.0,0.3,3.7144613609609927,2153.878500956474
1.0,0.3,3.714461360960991,2153.8785009564735
1.0,0.3,3.714461360960992,2153.8785009564763
1.0,0.3,3.714461360960992,2153.8785009564754
