TIMEPOINT,zone_demand_mw
2020-01-23 00:00,532.598516655
2020012302,482.672997961
2020012304,564.319411133
2020012306,845.770985082
2020012308,918.921213665
2020012310,957.789031729
2020012312,968.355032392
2020012314,959.755831599
2020012316,952.048600371
2020012318,1054.70131556
2020012320,926.331121705
2020012322,696.143020798
2020022300,572.735611598
2020022302,502.066845136
2020022304,518.144561644
2020022306,647.589655597
2020022308,853.055124018
2020022310,937.926307282
2020022312,941.16238403
2020022314,936.325368481
2020022316,952.197261965
2020022318,1011.08791232
2020022320,923.5295137
2020022322,760.328117725
2020032300,568.836280799
2020032302,503.439068423
2020032304,516.543692637
2020032306,609.13348358
2020032308,795.719627489
2020032310,853.878485908
2020032312,862.134578533
2020032314,858.040801161
2020032316,873.855533215
2020032318,927.325967885
2020032320,884.421533878
2020032322,710.985729368
2020042300,543.073017154
2020042302,492.89596025
2020042304,560.774564952
2020042306,820.602367814
2020042308,962.008508412
2020042310,1028.94949816
2020042312,1052.34562254
2020042314,1057.27420805
2020042316,1044.36396062
2020042318,1045.74769994
2020042320,981.448140567
2020042322,733.5700079
2020052300,615.228399557
2020052302,561.906626481
2020052304,641.40330925
2020052306,897.76631985
2020052308,1042.00840719
2020052310,1100.0870721
2020052312,1111.76238139
2020052314,1098.4633804
2020052316,1047.26851503
2020052318,1018.73791232
2020052320,967.405971192
2020052322,782.42069629
2020062300,595.136959596
2020062302,541.369201738
2020062304,612.00369926
2020062306,846.560008238
2020062308,1003.43791231
2020062310,1083.87221004
2020062312,1106.43359608
2020062314,1108.45762717
2020062316,1080.95620938
2020062318,1048.5606844
2020062320,1030.49320574
2020062322,798.018089281
2020072300,654.221986726
2020072302,594.588098199
2020072304,656.531894763
2020072306,885.793757165
2020072308,1032.13992952
2020072310,1113.90073534
2020072312,1130.49304431
2020072314,1124.39805854
2020072316,1108.74350412
2020072318,1073.18044027
2020072320,1036.87406845
2020072322,818.235298347
2020082300,645.302640049
2020082302,574.382265584
Oahu,2020082304,589.78535159
Oahu,2020082306,717.881114745
Oahu,2020082308,933.169275858
Oahu,2020082310,1013.58082068
Oahu,2020082312,1019.81288221
Oahu,2020082314,1013.72948228
Oahu,2020082316,1004.92438866
Oahu,2020082318,988.389310923
Oahu,2020082320,956.279593093
Oahu,2020082322,810.162136255
Oahu,2020092300,602.386829591
Oahu,2020092302,555.937479609
Oahu,2020092304,641.917831913
Oahu,2020092306,892.917788262
Oahu,2020092308,1027.40579058
Oahu,2020092310,1085.50734798
Oahu,2020092312,1112.562781
Oahu,2020092314,1114.0150582
Oahu,2020092316,1087.9888101
Oahu,2020092318,1138.32604464
Oahu,2020092320,998.783757502
Oahu,2020092322,761.517340684
Oahu,2020102300,596.589236803
Oahu,2020102302,547.704279473
Oahu,2020102304,613.673245735
Oahu,2020102306,860.613693652
Oahu,2020102308,986.845603346
Oahu,2020102310,1047.70305357
Oahu,2020102312,1070.73331688
Oahu,2020102314,1065.16443961
Oahu,2020102316,1043.04889876
Oahu,2020102318,1102.37408765
Oahu,2020102320,968.183478308
Oahu,2020102322,756.908970854
Oahu,2020112300,549.796848447
Oahu,2020112302,500.991945037
Oahu,2020112304,525.268662535
Oahu,2020112306,624.902500449
Oahu,2020112308,809.933490536
Oahu,2020112310,894.747442576
Oahu,2020112312,887.314642047
Oahu,2020112314,873.215171653
Oahu,2020112316,909.555882206
Oahu,2020112318,1027.52011344
Oahu,2020112320,905.564981448
Oahu,2020112322,713.901660232
Oahu,2020122300,555.228510373
Oahu,2020122302,491.180698589
Oahu,2020122304,560.694511033
Oahu,2020122306,785.599611608
Oahu,2020122308,931.156691009
Oahu,2020122310,997.525926869
Oahu,2020122312,998.715219622
Oahu,2020122314,989.418495837
Oahu,2020122316,968.526586476
Oahu,2020122318,1044.39829935
Oahu,2020122320,939.21847665
Oahu,2020122322,762.30636384
